id,project,test_name,fold1_pred,fold1_conf,fold2_pred,fold2_conf,fold3_pred,fold3_conf,fold4_pred,fold4_conf,n_folds_predicting_flaky,majority_category,avg_confidence
693,square-okhttp,inputStreamAvailableWithContentLengthHeader,Order Dependent,0.931664586,Not Flaky,0.941188097,Order Dependent,0.576416969,Order Dependent,0.944962382,3,Order Dependent,0.849
694,square-okhttp,setProtocols,Async Wait,0.914625764,Not Flaky,0.923424423,Not Flaky,0.531798184,Order Dependent,0.939252019,2,Not Flaky,0.827
695,square-okhttp,connectionCloseInRequest,Async Wait,0.920022547,Async Wait,0.697035789,Order Dependent,0.499969959,Async Wait,0.928764224,4,Async Wait,0.761
696,square-okhttp,response307WithOptions,Order Dependent,0.876629889,Not Flaky,0.941965282,Order Dependent,0.820644855,Order Dependent,0.943441153,3,Order Dependent,0.896
697,square-okhttp,getOutputStreamOnGetFails,Async Wait,0.922413766,Not Flaky,0.878355742,Order Dependent,0.682522535,Order Dependent,0.907569706,3,Order Dependent,0.848
698,square-okhttp,earlyDisconnectDoesntHarmPoolingWithFixedLengthEncoding,Order Dependent,0.919540942,Not Flaky,0.967118084,Not Flaky,0.731907547,Order Dependent,0.937667191,2,Order Dependent,0.889
699,square-okhttp,unauthorizedResponseHandling,Async Wait,0.912862837,Order Dependent,0.679443598,Order Dependent,0.803741932,Order Dependent,0.940064788,4,Order Dependent,0.834
700,square-okhttp,clientConfiguredCustomContentEncoding,Async Wait,0.914055407,Async Wait,0.719389141,Order Dependent,0.779004157,Order Dependent,0.897069991,4,Async Wait,0.827
701,square-okhttp,cannotSetNegativeFixedLengthStreamingMode,Async Wait,0.915109336,Not Flaky,0.58298409,Order Dependent,0.829516768,Order Dependent,0.929853261,3,Order Dependent,0.814
702,square-okhttp,response303SeeOtherWithPost,Order Dependent,0.851321876,Not Flaky,0.952454627,Order Dependent,0.73676759,Order Dependent,0.944542229,3,Order Dependent,0.871
703,square-okhttp,chunkedUpload_smallBuffers,Order Dependent,0.928097486,Not Flaky,0.931224823,Not Flaky,0.585333765,Order Dependent,0.937328696,2,Order Dependent,0.845
704,square-okhttp,setInvalidRequestMethodConnect,Order Dependent,0.825588465,Not Flaky,0.857359767,Order Dependent,0.866925538,Order Dependent,0.949604511,3,Order Dependent,0.875
705,square-okhttp,serverShutdownOutput,Order Dependent,0.585952997,Not Flaky,0.956193686,Order Dependent,0.65656203,Order Dependent,0.938118637,3,Order Dependent,0.784
706,square-okhttp,responseHeaders,Async Wait,0.903898478,Async Wait,0.953866243,Async Wait,0.776713371,Unordered Collections,0.7754004,4,Async Wait,0.852
707,square-okhttp,fixedLengthUpload_largeBuffers,Order Dependent,0.72436583,Not Flaky,0.910359204,Not Flaky,0.585700274,Order Dependent,0.94051981,2,Order Dependent,0.79
708,square-okhttp,singleByteReadIsSigned,Async Wait,0.920285463,Not Flaky,0.942304671,Order Dependent,0.833414078,Order Dependent,0.750181854,3,Order Dependent,0.862
709,square-okhttp,postFailsWithFixedLengthRequestForSmallRequest,Order Dependent,0.918248534,Not Flaky,0.950665951,Order Dependent,0.490988195,Order Dependent,0.943697572,3,Order Dependent,0.826
710,square-okhttp,serverSendsInvalidCodeTooLarge,Async Wait,0.921019316,Not Flaky,0.924809754,Order Dependent,0.674635828,Order Dependent,0.910294354,3,Order Dependent,0.858
711,square-okhttp,response305UseProxy,Async Wait,0.917807877,Order Dependent,0.595730901,Order Dependent,0.773300409,Order Dependent,0.947004259,4,Order Dependent,0.808
712,square-okhttp,readAfterLastByte,Async Wait,0.919715762,Not Flaky,0.943331003,Not Flaky,0.772318006,Order Dependent,0.931470871,2,Not Flaky,0.892
713,square-okhttp,serverShutdownInput,Order Dependent,0.734385908,Not Flaky,0.953503668,Order Dependent,0.6697523,Order Dependent,0.942314804,3,Order Dependent,0.825
714,square-okhttp,inputStreamAvailableWithNoLengthHeaders,Order Dependent,0.941093981,Not Flaky,0.937841952,Order Dependent,0.657733142,Order Dependent,0.943314075,3,Order Dependent,0.87
715,square-okhttp,zeroLengthPut,Order Dependent,0.941008508,Not Flaky,0.957337201,Order Dependent,0.579666972,Order Dependent,0.932517648,3,Order Dependent,0.853
716,square-okhttp,response307WithHead,Order Dependent,0.846825957,Not Flaky,0.936724663,Order Dependent,0.779834449,Order Dependent,0.944066882,3,Order Dependent,0.877
717,square-okhttp,response307WithPost,Order Dependent,0.862186193,Not Flaky,0.942409754,Order Dependent,0.757158399,Order Dependent,0.945536613,3,Order Dependent,0.877
718,square-okhttp,response302MovedTemporarilyWithPost,Order Dependent,0.706481159,Not Flaky,0.958347261,Order Dependent,0.518001914,Order Dependent,0.945509255,3,Order Dependent,0.782
719,square-okhttp,authenticateWithChunkedStreaming,Order Dependent,0.910744369,Not Flaky,0.953277528,Order Dependent,0.516154349,Order Dependent,0.938256919,3,Order Dependent,0.83
720,square-okhttp,nonHexChunkSize,Async Wait,0.914645016,Not Flaky,0.497745067,Order Dependent,0.67875874,Order Dependent,0.929176271,3,Order Dependent,0.755
721,square-okhttp,requestBodySurvivesRetriesWithChunkedStreaming,Order Dependent,0.899286151,Not Flaky,0.964416325,Not Flaky,0.548732936,Order Dependent,0.941850364,2,Order Dependent,0.839
722,square-okhttp,getContentLengthConnects,Async Wait,0.917741418,Not Flaky,0.934351325,Not Flaky,0.624115109,Order Dependent,0.940253794,2,Not Flaky,0.854
723,square-okhttp,contentDisagreesWithChunkedHeader,Async Wait,0.916723669,Not Flaky,0.938578367,Order Dependent,0.863043785,Order Dependent,0.902865648,3,Order Dependent,0.905
724,square-okhttp,connectViaProxyUsingProxySystemProperty,Order Dependent,0.923547506,Not Flaky,0.912381411,Order Dependent,0.723352313,Order Dependent,0.943716705,3,Order Dependent,0.876
725,square-okhttp,postFailsWithChunkedRequestForLargeRequest,Order Dependent,0.848432899,Not Flaky,0.958031058,Not Flaky,0.569922447,Order Dependent,0.941643894,2,Order Dependent,0.83
726,square-okhttp,veryLargeFixedLengthRequest,Async Wait,0.891750693,Async Wait,0.792667866,Async Wait,0.60325861,Order Dependent,0.567796409,4,Async Wait,0.714
727,square-okhttp,zeroLengthPost,Order Dependent,0.933305621,Not Flaky,0.955814779,Order Dependent,0.669455409,Order Dependent,0.931276679,3,Order Dependent,0.872
728,square-okhttp,getContent,Async Wait,0.914613485,Not Flaky,0.887376606,Order Dependent,0.836556494,Order Dependent,0.938928425,3,Order Dependent,0.894
729,square-okhttp,setProtocolsWithoutHttp11,Order Dependent,0.463862747,Not Flaky,0.956633687,Not Flaky,0.607439101,Order Dependent,0.940816104,2,Order Dependent,0.742
730,square-okhttp,disconnectedConnection,Async Wait,0.922653794,Async Wait,0.724202573,Async Wait,0.564991415,Order Dependent,0.849896133,4,Async Wait,0.765
731,square-okhttp,getRequestPropertyReturnsLastValue,Async Wait,0.872352421,Not Flaky,0.808032274,Order Dependent,0.892763853,Order Dependent,0.901651323,3,Order Dependent,0.869
732,square-okhttp,responseCacheReturnsNullOutputStream,Not Flaky,0.663471162,Not Flaky,0.952336371,Async Wait,0.657703698,Concurrency,0.558532119,2,Not Flaky,0.708
